Winner of the election: NDP

Winner of the popular vote: CONSERVATIVE

		RIDING#				NDP	   CONSERVATIVE 		LIBERAL			  GREEN    WINNING PARTY
              0               6               7               7              10           GREEN
              1               8               5               8               5       NOT NAMED
              2              12               8               5               6             NDP
              3               4               7               6               6    CONSERVATIVE
              4               6               8               8              12           GREEN
              5               8               4               9              10           GREEN
              6               5               7              12               9         LIBERAL
              7              12               6               3               7             NDP
              8              10               8               8               7             NDP
              9              11               6               9              11       NOT NAMED
             10               7               6               5               8           GREEN
             11               6              11               2               7    CONSERVATIVE
             12               1               7               7               8           GREEN
             13              10               7               6               7             NDP
             14               5              10               6              11           GREEN
             15               9               6               7               7             NDP
             16               7               5               3               9           GREEN
             17               9              13               6               6    CONSERVATIVE
             18               5              11               5               9    CONSERVATIVE
             19               4               5               6               7           GREEN
             20               4              12              13               7         LIBERAL
             21              11              12              14               7         LIBERAL
             22               2              10               3               8    CONSERVATIVE
             23              10              10               8               5       NOT NAMED
             24              10               5               7               8             NDP
             25              11              10               3               8             NDP
             26               6               8              14              11         LIBERAL
             27               4               2               4              10           GREEN
             28               8              14               7              11    CONSERVATIVE
             29              10               6               7              10       NOT NAMED
             30              12               7               6               8             NDP
             31               7               5               7               4       NOT NAMED
             32              12               5               3               3             NDP
             33               4               7               6               3    CONSERVATIVE
             34               6               5              12               8         LIBERAL
             35               8               8               4              11           GREEN
             36               9               9               6              11           GREEN
             37               4               2              11               5         LIBERAL
             38              11               7               9               6             NDP
             39              12              12               8               3       NOT NAMED
             40               3              11               0              15           GREEN
             41               8               2               5              10           GREEN
             42               3               9               7               5    CONSERVATIVE
             43               2               6              10              10       NOT NAMED
             44               6              11               3               9    CONSERVATIVE
             45              11              10               7               6             NDP
             46               9              10               9               7    CONSERVATIVE
             47              13               4              10               4             NDP
             48               5               4               7               8           GREEN
             49               7              11              11              11       NOT NAMED
             50              12               8               6               7             NDP
             51               9               9              11               3         LIBERAL
             52               9               7               5               8             NDP
             53               9               6              10               7         LIBERAL
             54               6               9               4               7    CONSERVATIVE
             55               5               9               6               5    CONSERVATIVE
             56              12               6               4               5             NDP
             57               5               6               5              11           GREEN
             58               3               7              10               8         LIBERAL
             59               7              11              10               7    CONSERVATIVE
             60               8               6               8               6       NOT NAMED
             61              12               4               5               5             NDP
             62               5              12               7              12       NOT NAMED
             63              12               4              13              10         LIBERAL
             64               7               7              11               9         LIBERAL
             65              10               9               9               9             NDP
             66               5              10               8               6    CONSERVATIVE
             67               5              14               5               5    CONSERVATIVE
             68               4              10              12               6         LIBERAL
             69               6               7               5               7       NOT NAMED
             70               3               6              13              10         LIBERAL
             71               7               8               8               8       NOT NAMED
             72               6               7               6               6    CONSERVATIVE
             73               8               9              11               7         LIBERAL
             74               7               9               6               8    CONSERVATIVE
             75               8               9              10              14           GREEN
             76              10               6               6              12           GREEN
             77               8               7               3               8       NOT NAMED
             78              11               9               5               8             NDP
             79               7              11               5               5    CONSERVATIVE
             80               5               5              12               9         LIBERAL
             81               5              11               9               5    CONSERVATIVE
             82               8              13              10               7    CONSERVATIVE
             83               4               6               6               8           GREEN
             84              12               8               9              12       NOT NAMED
             85               8               2               3               6             NDP
             86              11              10               6               6             NDP
             87              11               9               9               5             NDP
             88               5              10               7               7    CONSERVATIVE
             89               9               6               5              10           GREEN
             90               7               7              11              13           GREEN
             91               5              12              10              10    CONSERVATIVE
             92               9               7              10               5         LIBERAL
             93               5              10              11              10         LIBERAL
             94               6               8               8               7       NOT NAMED
             95               7              10               4              10       NOT NAMED
             96               6               7               7               9           GREEN
             97               9               4               6               2             NDP
             98               9               8               4               9       NOT NAMED
             99               7              11               6               8    CONSERVATIVE
            100              13               7               9               5             NDP
            101               4               6              10               9         LIBERAL
            102               9               9               4              11           GREEN
            103               8               5               8               6       NOT NAMED
            104               5               4               7               6         LIBERAL
            105               7               4               9               3         LIBERAL
            106               7               5               7               7       NOT NAMED
            107              10               7               9               8             NDP
            108               5               9               3               8    CONSERVATIVE
            109               4               7               5               7       NOT NAMED
            110              11               6               5               9             NDP
            111               3               5               7               8           GREEN
            112               8               5               6               7             NDP
            113               6               8               7               7    CONSERVATIVE
            114               7               6               5               9           GREEN
            115               8               4               9               4         LIBERAL
            116              10               7               3              10       NOT NAMED
            117               6              16              11               7    CONSERVATIVE
            118              15               6               9               6             NDP
            119               5              10               9               5    CONSERVATIVE
            120               6               4               8              12           GREEN
            121              11               6               3              10             NDP
            122              11               8               9               9             NDP
            123               7               7               7               6       NOT NAMED
            124               5               8              11               5         LIBERAL
            125               4              12               7               6    CONSERVATIVE
            126               9               6              10              10       NOT NAMED
            127               4               7               8               6         LIBERAL
            128              12              12               2              18           GREEN
            129               7               9               8               7    CONSERVATIVE
            130               9              12               2               7    CONSERVATIVE
            131              12               6               9               8             NDP
            132              11              10              11               7       NOT NAMED
            133               7               4               8              12           GREEN
            134               3               4               8              10           GREEN
            135              12               3               5               3             NDP
            136               7               9              11               6         LIBERAL
            137               8              10               7              12           GREEN
            138               6               4               3               6       NOT NAMED
            139               5               7               7               7       NOT NAMED
            140               6               6               7              16           GREEN
            141              10               5               4               6             NDP
            142               7               7              10               9         LIBERAL
            143               4               6               9               9       NOT NAMED
            144              14               6               9               6             NDP
            145              12               8               5               8             NDP
            146               9               4               4               5             NDP
            147               9               5               8              10           GREEN
            148               8               6               7               9           GREEN
            149              11               8              13               6         LIBERAL
            150               6               8              10               9         LIBERAL
            151               4               3               6               6       NOT NAMED
            152               5               8               8               6       NOT NAMED
            153              11               6              10               4             NDP
            154               6               6               6               3       NOT NAMED
